kew_internal_concept_db,kew_internal_concept_id,kingdom,phylum,h_class,h_order,family,genus,species,infraspecific_type,infraspecific_description,author,taxonomic_status,med_ref_count,med_ref_count_for_synonyms,confidence_level,unii,kew_internal_species_concept_identifier,kew_internal_name_identifier
wcs,109456,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonotis,nepetifolia,,,(L.) R.Br.,Accepted,11,0,H,9F1FF5Q31I,,
wcs,109458,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonotis,nepetifolia,var.,nepetifolia,,Accepted,1,0,H,,109456,
wcs,109460,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonotis,ocymifolia,,,(Burm.f.) Iwarsson,Accepted,1,0,H,,,915192-1
wcs,109461,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonotis,ocymifolia,var.,ocymifolia,,Accepted,1,4,H,,109460,
wcs,109462,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonotis,ocymifolia,var.,raineriana,(Vis.) Iwarsson,Accepted,1,3,H,,109460,924300-1
wcs,109463,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonotis,ocymifolia,var.,schinzii,(Gürke) Iwarsson,Accepted,1,1,H,,109460,924301-1
wcs,109505,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonurus,cardiaca,,,L.,Accepted,24,0,H,8NC0C2YXK0,,449168-1
wcs,109528,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonurus,glaucescens,,,Bunge,Accepted,1,0,H,,,449185-1
wcs,109541,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonurus,japonicus,,,Houtt.,Accepted,13,0,H,NIN10Q372V,,
wcs,109577,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonurus,quinquelobatus,,,Gilib.,Accepted,2,1,H,,,449227-1
wcs,109583,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonurus,sibiricus,,,L.,Accepted,8,0,H,X1SR8K8H1Z,,449232-1
wcs,109590,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonurus,tataricus,,,L.,Accepted,2,0,H,RO9023U1PD,,449237-1
wcs,109594,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Leonurus,turkestanicus,,,V.I.Krecz. & Kuprian.,Accepted,1,0,H,,,449240-1
wcs,110758,Plantae,Angiospermae,Eudicots,Lamiales,Lamiaceae,Lepechinia,bullata,,,(Kunth) Epling,Accepted,1,0,H,,,449251-1
